Herren Kreisliga [12];Herren 1. Kreisklasse [12];Herren 2. Kreisklasse St. 1 [12];Herren 2. Kreisklasse St. 2 [12];Herren 3. Kreisklasse St.1 [12];Herren 3. Kreisklasse St.2 [12];Herren 3. Kreisklasse St.3 [12];Damen Kreisliga [12];Jungen 1. Kreisklasse 1 [10];Jungen 1. Kreisklasse 2 [10];Maedchen Kreisliga [12];Schueler Kreisliga [10];Schueler 1. Kreisklasse [10];Schueler 2. Kreisklasse [10];B-Schueler Kreisliga [10];C-Schueler Kreisliga [10];
TTSG Rietberg-Neuenkirchen II [8];DJK BW Avenwedde V [3];TSV Victoria Clarholz II [5];TV Verl II [12];SC Wiedenbrueck VI [12];TTC Oelde V [4];DJK Guetersloh IV [11];BTG Bielefeld [1];TV Einigkeit Langenberg II [3];SW Marienfeld [1];TSV Victoria Clarholz [11];TTSV Schloss Holte-Sende [9];SC Germania Stromberg [2];SV Herzebrock [2];TTSV Schloss Holte-Sende [9];DJK BW Avenwedde [5];
TTSV Schloss Holte-Sende III [4];TSG Harsewinkel II [12];TTC Oelde III [10];TSG Rheda II [7];DJK BW Avenwedde VII [3];TSV Victoria Clarholz III [11];SC Germania Stromberg II [2];SC GW Varensell [2];SV Spexard [5];TTSG Rietberg-Neuenkirchen [2];SC Germania Stromberg [8];TSG Rheda [5];TV Einigkeit Langenberg II [3];TTC Oelde II [4];SV RW Mastholte [5];TTSV Schloss Holte-Sende [9];
SV Spexard II [2];TSG Rheda [7];Post SV Guetersloh V [9];TTSV Schloss Holte-Sende V [10];TSV Victoria Clarholz IV [5];SV Herzebrock II [1];TSG Rheda IV [1];TTSV Schloss Holte-Sende IV [4];DJK BW Avenwedde III [6];SC Wiedenbrueck III [3];Post SV Guetersloh [3];TTSG Rietberg-Neuenkirchen [7];SV Spexard II [10];TSG Rheda IV [9];Post SV Guetersloh [6];DJK BW Avenwedde III [6];
DJK Guetersloh [5];Post SV Guetersloh III [11];TV Guetersloh II [3];DJK BW Avenwedde VI [9];TV Guetersloh III [9];TTSG Rietberg-Neuenkirchen IV [2];TV Verl III [3];DJK BW Avenwedde II [3];SV RW Mastholte [1];SV Spexard II [5];TTSG Rietberg-Neuenkirchen II [9];SV Spexard [10];SC Wiedenbrueck II [4];TV Verl II [1];SC Wiedenbrueck [8];TSV Victoria Clarholz [4];
Post SV Guetersloh II [10];SW Marienfeld [1];TV Einigkeit Langenberg III [7];SW Marienfeld II [1];TTC Simonswerk Rheda [6];TTSV Schloss Holte-Sende VII [10];TV Isselhorst II [4];SC Babenhausen [5];TV Guetersloh [2];TV Verl [4];SV Herzebrock [4];TV Einigkeit Langenberg [8];TTC Oelde [9];TSG Rheda III [10];DJK Guetersloh [3];Post SV Guetersloh [2];
TV Guetersloh [3];TTSV Schloss Holte-Sende IV [4];DJK Guetersloh II [11];SV Herzebrock [8];TV Einigkeit Langenberg IV [1];TSG Harsewinkel IV [6];TTC Oelde VI [10];Spvg. Heepen [6];DJK Guetersloh [8];Post SV Guetersloh III [6];DJK BW Avenwedde [7];Post SV Guetersloh II [1];TSG Rheda II [5];TSV Victoria Clarholz II [5];TTSG Rietberg-Neuenkirchen [2];SC Germania Stromberg [7];
TuS Friedrichsdorf [9];TTSG Rietberg-Neuenkirchen III [9];SV RW Mastholte II [8];SV Spexard IV [2];TTSG Rietberg-Neuenkirchen V [2];TuS Friedrichsdorf III [3];SV RW Mastholte III [8];SV RW Mastholte II [8];TTC Oelde [4];;SC Germania Stromberg II [2];TV Verl [6];DJK BW Avenwedde II [1];SW Marienfeld [3];TTSV Schloss Holte-Sende II [4];SV Spexard [10];
SC GW Varensell [1];SC Germania Stromberg [2];TuS Friedrichsdorf II [12];Post SV Guetersloh IV [3];SV Herzebrock III [4];SC Wiedenbrueck VII [7];TTC Simonswerk Rheda II [12];SV Gadderbaum II [7];;;SV RW Mastholte [10];TTSV Schloss Holte-Sende II [4];TTSG Rietberg-Neuenkirchen II [7];;Post SV Guetersloh II [7];DJK Guetersloh [3];
TSV Victoria Clarholz [11];SV Spexard III [8];SV Spexard V [2];VfB Lette [11];TV Isselhorst III [11];DJK Guetersloh V [5];TTSV Schloss Holte-Sende VIII [9];Spvg Steinhagen II [9];;;DJK BW Avenwedde II [1];;;;SC Germania Stromberg [1];DJK BW Avenwedde II [1];
SC Wiedenbrueck III [12];TV Isselhorst [5];TTSV Schloss Holte-Sende VI [4];TTC Oelde IV [4];;;;VfL Theesen [10];;;SV Spexard [6];;;;Post SV Guetersloh III [10];Post SV Guetersloh II [8];
TV Einigkeit Langenberg II [7];SC Wiedenbrueck IV [6];SC Wiedenbrueck V [6];DJK Guetersloh III [5];;;;Gadderbaumer TV [11];;;TSV Victoria Clarholz II [5];;;;;;
TV Verl [6];TTC Oelde II [10];TSG Rheda III [1];TSG Harsewinkel III [6];;;;BTG Bielefeld II [12];;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
